x,y,text,type,group
3.040039,2314.77,Created using CADplot http://www.oasys-software.com/cadplot/,SENSOR,0
62.680176,311.93054,Drawing No.,SENSOR,0
62.680176,52.905884,Rev,SENSOR,0
82.84009,253.77979,34676-M57-0302,SENSOR,0
82.36011,47.95996,F,SENSOR,0
390.64014,1092.1302,ATT/E.38/1,SENSOR,0
456.28003,1090.8103,ATT/E.38/2,SENSOR,0
581.32007,232.32898,800,SENSOR,0
609.40015,193.68909,100,SENSOR,0
610.72,1104.2502,ATT/E.39/2,SENSOR,0
710.43994,1105.5702,ATT/E.39/1,SENSOR,0
798.52,1095.8502,ATT/E.40/2,SENSOR,0
833.6802,1094.6503,ATT/E.40/1,SENSOR,0
1349.4401,829.9425,300x200,SENSOR,0
1532.92,748.2102,ATT/E.44/1,SENSOR,0
1681.7201,1206.8036,VAV/E.47/03,SENSOR,0
1685.3201,898.0436,VAV/E.47/04,SENSOR,0
1799.8,1118.6625,600x300,SENSOR,0
1799.8,870.9825,600x300,SENSOR,0
1825.48,980.8436,VAV/E.47/01,SENSOR,0
703.8401,1058.9539,VCD,SENSOR,0
605.0801,1055.7139,VCD,SENSOR,0
478.6001,1054.634,VCD,SENSOR,0
413.08008,1058.9539,VCD,SENSOR,0
1865.7222,20.0,9a,SENSOR,0
2766.2544,120.19995,M57-0301,SENSOR,0
2879.4143,120.19995,M57-0302,SENSOR,0
892.99316,122.36011,1000x700,SENSOR,0
907.8097,170.6001,4th Floor,SENSOR,0
729.09753,179.6001,800x650,SENSOR,0
488.80005,185.95996,6,SENSOR,0
998.67993,185.95996,7,SENSOR,0
1266.3223,185.95996,7i,SENSOR,0
1509.16,185.95996,8,SENSOR,0
2019.28,185.95996,9,SENSOR,0
2527.2822,185.95996,10,SENSOR,0
2800.4023,185.95996,11,SENSOR,0
2765.6543,218.3601,M57-0303,SENSOR,0
2879.4143,218.3601,M57-0304,SENSOR,0
900.313,263.95996,1000x800,SENSOR,0
3160.1765,268.40015,H1 - Ductwork in riser to be installed prior to construction of riser wall,SENSOR,0
694.0332,276.80005,1150x500,SENSOR,0
3150.4763,280.40015,in female WC. Supply duct to be installed per insulated kool duct,SENSOR,0
2821.0898,284.24,Key Plan,SENSOR,0
3027.5015,292.16016,system.,SENSOR,0
1715.1646,343.76,T-B,SENSOR,0
898.0576,350.4801,450x300,SENSOR,0
3153.082,353.4801,H2 - Two storey high space with raised access floor unsuitable for,SENSOR,0
1767.4355,355.64,800x600 Extract TA and FB,SENSOR,0
3073.496,365.36,MEWP or scissor lift access..,SENSOR,0
1768.5327,367.52002,800x600 Supply FA and  TB,SENSOR,0
1770.6228,379.40002,Process extract TA by others,SENSOR,0
747.2311,390.92004,200,SENSOR,0
817.4065,390.92004,1500,SENSOR,0
888.47107,390.92004,200,SENSOR,0
1770.6228,391.16003,Process extract TA by others,SENSOR,0
1800.9974,427.16003,Ammonia unit extract FB and TA by others,SENSOR,0
1162.8572,432.20007,Supply air from TEF01 & 02 supplied,SENSOR,0
3051.0806,438.32007,No abnormal risks.,SENSOR,0
