x,y,text,type,group
174.85596,286.16003,B.10a_Air intake,ROOM,0
473.66162,349.76,(CB-11),FACILITY,0
543.3817,368.4801,(CB-03),FACILITY,0
462.8617,456.92004,(CB-11),FACILITY,0
452.18164,564.0801,(CB-11),FACILITY,0
595.7999,1003.28,B.10_FLEXIBLE TEACHING 3,ROOM,1
543.3817,640.64,(CB-03),FACILITY,1
441.3817,671.36,(CB-11),FACILITY,1
593.7145,774.92004,E/B.18,FACILITY,1
543.3817,776.7201,(CB-03),FACILITY,1
683.30164,776.7201,(CB-03),FACILITY,1
430.70166,778.52,(CB-11),FACILITY,1
419.9016,885.68005,(CB-11),FACILITY,1
543.3817,902.36,(CB-03),FACILITY,1
662.83435,911.12,E/B.18,FACILITY,1
713.42163,912.68005,(CB-03),FACILITY,1
472.82166,966.0801,(CB-11),FACILITY,1
625.4617,966.0801,(CB-11),FACILITY,1
920.244,517.88007,B.34_LIFT,ROOM,2
760.8401,484.25916,VAV/B.18/1,FACILITY,2
960.7943,209.23999,E/B.03,FACILITY,2
713.42163,368.4801,(CB-03),FACILITY,2
593.7145,382.64,E/B.18,FACILITY,2
593.7145,503.96008,E/B.18,FACILITY,2
543.3817,504.80005,(CB-03),FACILITY,2
713.42163,504.56006,(CB-03),FACILITY,2
713.42163,605.6001,(CB-03),FACILITY,2
931.5375,679.7601,B.36_STAIR 3,ROOM,3
593.7145,638.8401,E/B.18,FACILITY,3
903.5325,857.8401,VAV/B.19/2 mounted,FACILITY,3
1116.7546,509.24005,B.35_CORE 3,ROOM,4
1291.5564,870.56,B.33_MER ROOM,ROOM,5
1430.4265,796.04004,TG/B.15,FACILITY,5
1380.2617,804.92004,EF-04,FACILITY,5
1460.5881,537.80005,B.32_DELIVERY/STORE,ROOM,6
1764.4827,286.70007,B.37e_PLANT LOBBY,ROOM,7
1424.5944,99.80005,E/B.03,FACILITY,7
1867.7544,105.08008,E/B.03,FACILITY,7
1776.373,749.24005,B.31_TRANSFORMERS HV SWITCHROOM,ROOM,8
2007.4875,537.80005,B.30_LV SWITCHROOM,ROOM,9
2324.558,540.80005,B.09_DELIVERY ROOM,ROOM,10
2308.6343,486.08008,S/B.09,FACILITY,10
2444.2344,486.08008,E/B.09,FACILITY,10
2366.7964,584.8401,VAV/B.09/01,FACILITY,10
2308.6343,860.6,S/B.09,FACILITY,10
2490.005,254.35999,B.08_GROUP STUDY,ROOM,11
2584.5142,115.04004,E/B.03,FACILITY,11
2520.6975,258.56006,E/B.08/a,FACILITY,11
2482.3418,324.32007,(CB-14),FACILITY,11
2697.5312,537.80005,B.09a_PC WORKSHOP,ROOM,12
2826.6401,457.28363,VAV/B.07/01,FACILITY,12
2861.8,472.16364,VAV/B.07/02,FACILITY,12
2530.5718,481.40002,VAV/B.09a/01,FACILITY,12
2658.6497,522.44006,E/B.09a,FACILITY,12
2599.5815,535.4,(CB-21),FACILITY,12
2793.9814,535.4,(CB-21),FACILITY,12
2992.0342,559.04004,E/B.08,FACILITY,12
2658.1318,629.6001,VAV/B.09a/02,FACILITY,12
2705.833,761.48004,B.09b_ORDERS OFFICE,ROOM,13
2827.24,756.5881,VAV/B.09b/01,FACILITY,13
2861.32,822.82806,VAV/B.09b/02,FACILITY,13
2773.9316,659.9601,VAV/B.09b/01,FACILITY,13
2508.0364,686.6001,VAV/B.09/02,FACILITY,13
2607.7417,771.2001,(CB-15),FACILITY,13
2794.8218,771.2001,(CB-15),FACILITY,13
2992.0342,814.16003,E/B.08,FACILITY,13
2444.2344,860.6,E/B.09,FACILITY,13
2671.7297,879.56006,E/B.09b,FACILITY,13
2746.2217,969.0801,(CB-10),FACILITY,13
2964.3276,1296.4401,FCU/B/8,FACILITY,13
2924.385,1430.8401,S-B.05,FACILITY,13
2924.265,1542.0801,E-B.05,FACILITY,13
2929.7678,1678.28,FCU/B/7,FACILITY,13
2924.025,1840.76,S-B.05,FACILITY,13
2749.0845,284.4801,B.07_GROUP STUDY_(6),ROOM,14
2788.6343,258.56006,E/B.07,FACILITY,14
2992.0342,303.92017,E/B.08,FACILITY,14
2754.5015,326.12012,(CB-14),FACILITY,14
